[2026-04-03 17:59:37] IP=172.18.0.1 PUERTO=42198 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 17:59:37] IP=172.18.0.1 PUERTO=42198 | RX=REGISTER OPERATOR ana | TX=OK OPERATOR_REGISTERED ana

[2026-04-03 17:59:37] IP=172.18.0.1 PUERTO=42198 | RX=LIST SENSORS | TX=SENSOR_LIST []

[2026-04-03 18:06:41] IP=172.18.0.1 PUERTO=52946 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:06:41] IP=172.18.0.1 PUERTO=52946 | RX=REGISTER SENSOR temp-001 temperature | TX=OK SENSOR_REGISTERED temp-001

[2026-04-03 18:06:41] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 29.04 | TX=OK DATA_RECEIVED

[2026-04-03 18:06:46] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 28.22 | TX=OK DATA_RECEIVED

[2026-04-03 18:06:51] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 20.62 | TX=OK DATA_RECEIVED

[2026-04-03 18:06:56] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 26.03 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:01] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 18.85 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:07] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 15.1 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:11] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 26.43 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:16] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 21.26 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:21] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 31.83 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:26] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 15.69 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:31] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 20.71 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:35] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 16.1 | TX=OK DATA_RECEIVED

